product,unit_cost,total_cost,quantity,purchased_at,customer_id
toffee,18,7397,391,2020-01-01 00:38:00,35
caramel,10,9618,957,2020-01-01 00:55:00,5
dark_chocolate,34,20906,607,2020-01-01 01:36:00,137
caramel,10,3990,397,2020-01-01 02:20:00,160
chocolate,34,22187,639,2020-01-01 03:09:00,467
butter_creme,21,27334,1260,2020-01-01 04:13:00,306
chocolate,34,43125,1242,2020-01-01 04:50:00,337
dark_chocolate,34,42431,1232,2020-01-01 06:29:00,146
toffee,18,25427,1344,2020-01-01 06:52:00,77
dark_chocolate,34,12192,354,2020-01-01 08:08:00,207
toffee,18,20470,1082,2020-01-01 08:52:00,35
butter_creme,21,13710,632,2020-01-01 09:28:00,389
toffee,18,25729,1360,2020-01-01 10:00:00,385
chocolate,34,12604,363,2020-01-01 11:26:00,142
chocolate,34,37153,1070,2020-01-01 12:23:00,437
toffee,18,12997,687,2020-01-01 12:38:00,78
chocolate,34,12118,349,2020-01-01 14:17:00,328
chocolate,34,6805,196,2020-01-01 14:47:00,187
caramel,10,5919,589,2020-01-01 16:25:00,417
dark_chocolate,34,1343,39,2020-01-01 16:59:00,436
chocolate,34,18646,537,2020-01-01 18:10:00,231
chocolate,34,33368,961,2020-01-01 18:35:00,416
chocolate,34,6562,189,2020-01-01 20:14:00,425
toffee,18,26940,1424,2020-01-01 21:16:00,2
butter_creme,21,7462,344,2020-01-01 21:55:00,198
toffee,18,8872,469,2020-01-01 22:48:00,498
caramel,10,10131,1008,2020-01-01 23:40:00,51
caramel,10,12312,1225,2020-01-02 00:55:00,125
dark_chocolate,34,19252,559,2020-01-02 02:32:00,215
butter_creme,21,5293,244,2020-01-02 03:11:00,327
chocolate,34,50278,1448,2020-01-02 03:34:00,408
caramel,10,3557,354,2020-01-02 04:08:00,335
chocolate,34,38542,1110,2020-01-02 04:10:00,473
toffee,18,13716,725,2020-01-02 04:10:00,260
chocolate,34,243,7,2020-01-02 05:12:00,289
dark_chocolate,34,24487,711,2020-01-02 05:13:00,353
toffee,18,6167,326,2020-01-02 06:52:00,334
caramel,10,3698,368,2020-01-02 08:31:00,424
chocolate,34,18472,532,2020-01-02 10:01:00,182
dark_chocolate,34,32960,957,2020-01-02 10:25:00,52
caramel,10,13498,1343,2020-01-02 10:25:00,102
chocolate,34,5416,156,2020-01-02 10:27:00,26
caramel,10,3568,355,2020-01-02 11:32:00,57
toffee,18,75,4,2020-01-02 12:34:00,342
butter_creme,21,585,27,2020-01-02 13:02:00,70
dark_chocolate,34,49182,1428,2020-01-02 13:18:00,276
dark_chocolate,34,16256,472,2020-01-02 14:19:00,37
caramel,10,1276,127,2020-01-02 15:28:00,448
caramel,10,13065,1300,2020-01-02 16:15:00,389
caramel,10,7216,718,2020-01-02 16:32:00,158
dark_chocolate,34,30721,892,2020-01-02 16:44:00,263
dark_chocolate,34,42673,1239,2020-01-02 18:20:00,383
caramel,10,6522,649,2020-01-02 19:57:00,345
butter_creme,21,24969,1151,2020-01-02 21:07:00,89
dark_chocolate,34,309,9,2020-01-02 22:00:00,363
toffee,18,9308,492,2020-01-02 23:04:00,493
toffee,18,8683,459,2020-01-02 23:04:00,133
chocolate,34,49306,1420,2020-01-02 23:26:00,407
butter_creme,21,20197,931,2020-01-02 23:34:00,127
butter_creme,21,3405,157,2020-01-03 00:43:00,62
butter_creme,21,5293,244,2020-01-03 02:15:00,459
butter_creme,21,21043,970,2020-01-03 03:17:00,252
chocolate,34,21146,609,2020-01-03 04:15:00,74
caramel,10,60,6,2020-01-03 05:23:00,411
butter_creme,21,10716,494,2020-01-03 06:29:00,119
chocolate,34,14757,425,2020-01-03 06:37:00,22
dark_chocolate,34,28689,833,2020-01-03 07:50:00,498
caramel,10,995,99,2020-01-03 09:08:00,100
toffee,18,7529,398,2020-01-03 09:49:00,167
butter_creme,21,20999,968,2020-01-03 10:19:00,317
toffee,18,14037,742,2020-01-03 11:26:00,5
caramel,10,6382,635,2020-01-03 12:56:00,213
chocolate,34,42569,1226,2020-01-03 13:16:00,374
caramel,10,10191,1014,2020-01-03 14:17:00,152
dark_chocolate,34,24832,721,2020-01-03 15:17:00,285
caramel,10,14191,1412,2020-01-03 16:00:00,229
toffee,18,21927,1159,2020-01-03 16:07:00,4
toffee,18,700,37,2020-01-03 17:00:00,361
butter_creme,21,23884,1101,2020-01-03 17:35:00,473
toffee,18,19372,1024,2020-01-03 18:17:00,129
butter_creme,21,25577,1179,2020-01-03 19:03:00,350
butter_creme,21,21628,997,2020-01-03 19:03:00,443
dark_chocolate,34,7439,216,2020-01-03 20:31:00,236
butter_creme,21,20088,926,2020-01-03 21:07:00,76
caramel,10,3537,352,2020-01-03 22:15:00,231
caramel,10,8643,860,2020-01-03 22:47:00,291
toffee,18,22456,1187,2020-01-03 22:48:00,449
toffee,18,6962,368,2020-01-03 23:01:00,85
chocolate,34,26666,768,2020-01-03 23:57:00,427
chocolate,34,20625,594,2020-01-04 01:20:00,296
caramel,10,3397,338,2020-01-04 02:00:00,194
chocolate,34,12534,361,2020-01-04 03:02:00,97
toffee,18,7756,410,2020-01-04 04:34:00,384
dark_chocolate,34,26175,760,2020-01-04 05:42:00,455
dark_chocolate,34,14637,425,2020-01-04 06:17:00,219
butter_creme,21,22518,1038,2020-01-04 06:37:00,65
chocolate,34,38785,1117,2020-01-04 07:47:00,43
toffee,18,28302,1496,2020-01-04 08:02:00,235
dark_chocolate,34,49733,1444,2020-01-04 09:38:00,250
caramel,10,14855,1478,2020-01-04 10:50:00,44
butter_creme,21,28115,1296,2020-01-04 11:59:00,63
butter_creme,21,23516,1084,2020-01-04 13:34:00,11
chocolate,34,51875,1494,2020-01-04 14:21:00,455
butter_creme,21,25121,1158,2020-01-04 15:32:00,351
chocolate,34,16805,484,2020-01-04 16:16:00,7
toffee,18,4200,222,2020-01-04 16:51:00,397
caramel,10,13920,1385,2020-01-04 17:52:00,39
caramel,10,6301,627,2020-01-04 19:08:00,43
butter_creme,21,31976,1474,2020-01-04 20:30:00,272
butter_creme,21,8221,379,2020-01-04 21:57:00,165
toffee,18,8248,436,2020-01-04 22:21:00,157
butter_creme,21,6312,291,2020-01-04 23:29:00,29
toffee,18,21151,1118,2020-01-05 00:18:00,31
chocolate,34,28819,830,2020-01-05 01:35:00,60
dark_chocolate,34,18185,528,2020-01-05 02:21:00,326
butter_creme,21,24405,1125,2020-01-05 03:49:00,262
toffee,18,11313,598,2020-01-05 05:03:00,281
toffee,18,10310,545,2020-01-05 06:18:00,233
caramel,10,3658,364,2020-01-05 06:52:00,276
caramel,10,11035,1098,2020-01-05 07:00:00,218
butter_creme,21,10868,501,2020-01-05 07:13:00,142
chocolate,34,24826,715,2020-01-05 07:34:00,40
caramel,10,6010,598,2020-01-05 08:36:00,455
caramel,10,291,29,2020-01-05 10:10:00,55
butter_creme,21,12322,568,2020-01-05 10:28:00,469
caramel,10,1427,142,2020-01-05 10:53:00,300
chocolate,34,34861,1004,2020-01-05 12:31:00,100
dark_chocolate,34,15085,438,2020-01-05 13:04:00,45
dark_chocolate,34,33683,978,2020-01-05 13:31:00,3
dark_chocolate,34,11021,320,2020-01-05 15:08:00,138
chocolate,34,868,25,2020-01-05 15:13:00,471
dark_chocolate,34,6096,177,2020-01-05 15:45:00,440
butter_creme,21,14816,683,2020-01-05 17:02:00,402
toffee,18,9913,524,2020-01-05 18:37:00,80
toffee,18,27129,1434,2020-01-05 19:43:00,448
caramel,10,4814,479,2020-01-05 20:40:00,171
dark_chocolate,34,22145,643,2020-01-05 22:18:00,206
caramel,10,11055,1100,2020-01-05 22:53:00,269
dark_chocolate,34,13742,399,2020-01-06 00:22:00,210
butter_creme,21,19285,889,2020-01-06 00:36:00,253
dark_chocolate,34,12054,350,2020-01-06 01:32:00,376
toffee,18,3254,172,2020-01-06 01:46:00,368
toffee,18,1002,53,2020-01-06 03:04:00,271
chocolate,34,47049,1355,2020-01-06 04:34:00,325
toffee,18,5127,271,2020-01-06 05:44:00,356
butter_creme,21,10846,500,2020-01-06 07:09:00,353
chocolate,34,44306,1276,2020-01-06 08:43:00,405
toffee,18,26600,1406,2020-01-06 08:53:00,282
butter_creme,21,23950,1104,2020-01-06 09:29:00,122
chocolate,34,7882,227,2020-01-06 11:04:00,321
caramel,10,9467,942,2020-01-06 11:57:00,199
caramel,10,1437,143,2020-01-06 13:06:00,246
chocolate,34,46424,1337,2020-01-06 13:46:00,346
butter_creme,21,16574,764,2020-01-06 15:01:00,44
butter_creme,21,6746,311,2020-01-06 15:23:00,319
butter_creme,21,20999,968,2020-01-06 15:41:00,287
caramel,10,5708,568,2020-01-06 16:17:00,97
dark_chocolate,34,7267,211,2020-01-06 16:30:00,130
